"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","stadium","weather_temperature","weather_wind_mph","weather_humidity","weather_detail"
"3588","19840903DALLAR",1984,"1",1984-09-03,"LAR","Anaheim Stadium",71,10,77,""
"3589","19840906PITNYJ",1984,"2",1984-09-06,"NYJ","Giants Stadium",62,15,55,""
"3590","19840909BUFARI",1984,"2",1984-09-09,"ARI","Busch Memorial Stadium",68,11,95,""
"3591","19840909CLELAR",1984,"2",1984-09-09,"LAR","Anaheim Stadium",85,9,45,""
"3592","19840909DALNYG",1984,"2",1984-09-09,"NYG","Giants Stadium",66,13,69,""
"3593","19840909DENCHI",1984,"2",1984-09-09,"CHI","Soldier Field",68,10,77,""
"3594","19840909DETATL",1984,"2",1984-09-09,"ATL","Atlanta-Fulton County Stadium",70,10,60,""
"3595","19840909GBLVR",1984,"2",1984-09-09,"LVR","Los Angeles Memorial Coliseum",85,9,45,""
"3596","19840909INDTEN",1984,"2",1984-09-09,"TEN","Houston Astrodome",72,0,NA,"indoor"
"3597","19840909KCCIN",1984,"2",1984-09-09,"CIN","Cinergy Field",69,13,57,""
"3598","19840909LACSEA",1984,"2",1984-09-09,"SEA","Seattle Kingdome",72,0,NA,"indoor"
"3599","19840909MINPHI",1984,"2",1984-09-09,"PHI","Veterans Stadium",64,5,62,""
"3600","19840909NEMIA",1984,"2",1984-09-09,"MIA","Orange Bowl",78,10,65,""
"3601","19840909TBNO",1984,"2",1984-09-09,"NO","Louisiana Superdome",72,0,NA,"indoor"
"3602","19840910WASSF",1984,"2",1984-09-10,"SF","Candlestick Park",68,17,64,""
"3603","19840916ARIIND",1984,"3",1984-09-16,"IND","RCA Dome",72,0,NA,"indoor"
"3604","19840916ATLMIN",1984,"3",1984-09-16,"MIN","Hubert H. Humphrey Metrodome",72,0,NA,"indoor"
"3605","19840916CHIGB",1984,"3",1984-09-16,"GB","Lambeau Field",50,9,66,""
"3606","19840916CINNYJ",1984,"3",1984-09-16,"NYJ","Giants Stadium",56,13,66,""
"3607","19840916DENCLE",1984,"3",1984-09-16,"CLE","Cleveland Municipal Stadium",50,7,70,""
"3608","19840916DETTB",1984,"3",1984-09-16,"TB","Houlihan's Stadium",81,7,66,""
"3609","19840916LARPIT",1984,"3",1984-09-16,"PIT","Three Rivers Stadium",50,7,62,""
"3610","19840916LVRKC",1984,"3",1984-09-16,"KC","Arrowhead Stadium",55,9,61,""
"3611","19840916NOSF",1984,"3",1984-09-16,"SF","Candlestick Park",65,16,68,""
"3612","19840916NYGWAS",1984,"3",1984-09-16,"WAS","RFK Memorial Stadium",60,12,56,""
"3613","19840916PHIDAL",1984,"3",1984-09-16,"DAL","Texas Stadium",69,13,49,""
"3614","19840916SEANE",1984,"3",1984-09-16,"NE","Foxboro Stadium",50,13,62,""
"3615","19840916TENLAC",1984,"3",1984-09-16,"LAC","Qualcomm Stadium",80,8,77,""
"3616","19840917MIABUF",1984,"3",1984-09-17,"BUF","Ralph Wilson Stadium",54,8,65,""
"3617","19840923ARINO",1984,"4",1984-09-23,"NO","Louisiana Superdome",72,0,NA,"indoor"
"3618","19840923CHISEA",1984,"4",1984-09-23,"SEA","Seattle Kingdome",72,0,NA,"indoor"
"3619","19840923GBDAL",1984,"4",1984-09-23,"DAL","Texas Stadium",80,11,67,""
"3620","19840923INDMIA",1984,"4",1984-09-23,"MIA","Orange Bowl",81,18,63,""
"3621","19840923KCDEN",1984,"4",1984-09-23,"DEN","Mile High Stadium",64,11,40,""
"3622","19840923LARCIN",1984,"4",1984-09-23,"CIN","Cinergy Field",69,11,71,""
"3623","19840923MINDET",1984,"4",1984-09-23,"DET","Pontiac Silverdome",72,0,NA,"indoor"
"3624","19840923NYJBUF",1984,"4",1984-09-23,"BUF","Ralph Wilson Stadium",70,16,73,""
"3625","19840923PITCLE",1984,"4",1984-09-23,"CLE","Cleveland Municipal Stadium",70,12,70,""
"3626","19840923SFPHI",1984,"4",1984-09-23,"PHI","Veterans Stadium",68,9,68,""
"3627","19840923TBNYG",1984,"4",1984-09-23,"NYG","Giants Stadium",70,14,72,""
"3628","19840923TENATL",1984,"4",1984-09-23,"ATL","Atlanta-Fulton County Stadium",72,10,66,""
"3629","19840923WASNE",1984,"4",1984-09-23,"NE","Foxboro Stadium",66,13,67,""
"3630","19840924LACLVR",1984,"4",1984-09-24,"LVR","Los Angeles Memorial Coliseum",70,10,59,""
"3631","19840930ATLSF",1984,"5",1984-09-30,"SF","Candlestick Park",62,19,73,""
