"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","score_home","score_away","stadium_neutral","schedule_playoff"
"145","19661204PITPHI",1966,"13",1966-12-04,"PHI","PIT",27,23,FALSE,FALSE
"146","19661204SFGB",1966,"13",1966-12-04,"GB","SF",20,7,FALSE,FALSE
"147","19661210GBIND",1966,"14",1966-12-10,"IND","GB",10,14,FALSE,FALSE
"148","19661211ARIATL",1966,"14",1966-12-11,"ATL","ARI",16,10,FALSE,FALSE
"149","19661211CHISF",1966,"14",1966-12-11,"SF","CHI",41,14,FALSE,FALSE
"150","19661211CLEPHI",1966,"14",1966-12-11,"PHI","CLE",33,21,FALSE,FALSE
"151","19661211DENLVR",1966,"15",1966-12-11,"LVR","DEN",28,10,FALSE,FALSE
"152","19661211KCMIA",1966,"15",1966-12-11,"MIA","KC",18,19,FALSE,FALSE
"153","19661211MINDET",1966,"14",1966-12-11,"DET","MIN",16,28,FALSE,FALSE
"154","19661211NETEN",1966,"15",1966-12-11,"TEN","NE",14,38,FALSE,FALSE
"155","19661211NYJLAC",1966,"15",1966-12-11,"LAC","NYJ",42,27,FALSE,FALSE
"156","19661211PITNYG",1966,"14",1966-12-11,"NYG","PIT",28,47,FALSE,FALSE
"157","19661211WASDAL",1966,"14",1966-12-11,"DAL","WAS",31,34,FALSE,FALSE
"158","19661217CLEARI",1966,"15",1966-12-17,"ARI","CLE",10,38,FALSE,FALSE
"159","19661217NENYJ",1966,"16",1966-12-17,"NYJ","NE",38,28,FALSE,FALSE
"160","19661218DALNYG",1966,"15",1966-12-18,"NYG","DAL",7,17,FALSE,FALSE
"161","19661218DENBUF",1966,"16",1966-12-18,"BUF","DEN",38,21,FALSE,FALSE
"162","19661218GBLAR",1966,"15",1966-12-18,"LAR","GB",23,27,FALSE,FALSE
"163","19661218INDSF",1966,"15",1966-12-18,"SF","IND",14,30,FALSE,FALSE
"164","19661218KCLAC",1966,"16",1966-12-18,"LAC","KC",17,27,FALSE,FALSE
"165","19661218MINCHI",1966,"15",1966-12-18,"CHI","MIN",41,28,FALSE,FALSE
"166","19661218PHIWAS",1966,"15",1966-12-18,"WAS","PHI",28,37,FALSE,FALSE
"167","19661218PITATL",1966,"15",1966-12-18,"ATL","PIT",33,57,FALSE,FALSE
"168","19661218TENMIA",1966,"16",1966-12-18,"MIA","TEN",29,28,FALSE,FALSE
"169","19670101GBDAL",1966,"Conference",1967-01-01,"DAL","GB",27,34,FALSE,TRUE
"170","19670101KCBUF",1966,"Conference",1967-01-01,"BUF","KC",7,31,FALSE,TRUE
"171","19670115KCGB",1966,"Superbowl",1967-01-15,"GB","KC",35,10,TRUE,TRUE
"172","19670903NEDEN",1967,"1",1967-09-03,"DEN","NE",26,21,FALSE,FALSE
"173","19670909KCTEN",1967,"2",1967-09-09,"TEN","KC",20,25,FALSE,FALSE
"174","19670909NELAC",1967,"2",1967-09-09,"LAC","NE",28,14,FALSE,FALSE
"175","19670910DENLVR",1967,"2",1967-09-10,"LVR","DEN",51,0,FALSE,FALSE
"176","19670910NYJBUF",1967,"2",1967-09-10,"BUF","NYJ",20,17,FALSE,FALSE
"177","19670917ATLIND",1967,"1",1967-09-17,"IND","ATL",38,31,FALSE,FALSE
"178","19670917CHIPIT",1967,"1",1967-09-17,"PIT","CHI",41,13,FALSE,FALSE
"179","19670917DALCLE",1967,"1",1967-09-17,"CLE","DAL",14,21,FALSE,FALSE
"180","19670917DENMIA",1967,"3",1967-09-17,"MIA","DEN",35,21,FALSE,FALSE
"181","19670917DETGB",1967,"1",1967-09-17,"GB","DET",17,17,FALSE,FALSE
"182","19670917LARNO",1967,"1",1967-09-17,"NO","LAR",13,27,FALSE,FALSE
"183","19670917NELVR",1967,"3",1967-09-17,"LVR","NE",35,7,FALSE,FALSE
"184","19670917NYGARI",1967,"1",1967-09-17,"ARI","NYG",20,37,FALSE,FALSE
"185","19670917SFMIN",1967,"1",1967-09-17,"MIN","SF",21,27,FALSE,FALSE
"186","19670917TENBUF",1967,"3",1967-09-17,"BUF","TEN",3,20,FALSE,FALSE
"187","19670917WASPHI",1967,"1",1967-09-17,"PHI","WAS",35,24,FALSE,FALSE
"188","19670922MINLAR",1967,"2",1967-09-22,"LAR","MIN",39,3,FALSE,FALSE
"189","19670924ARIPIT",1967,"2",1967-09-24,"PIT","ARI",14,28,FALSE,FALSE
"190","19670924ATLSF",1967,"2",1967-09-24,"SF","ATL",38,7,FALSE,FALSE
"191","19670924CHIGB",1967,"2",1967-09-24,"GB","CHI",13,10,FALSE,FALSE
"192","19670924CLEDET",1967,"2",1967-09-24,"DET","CLE",31,14,FALSE,FALSE
"193","19670924INDPHI",1967,"2",1967-09-24,"PHI","IND",6,38,FALSE,FALSE
"194","19670924KCMIA",1967,"4",1967-09-24,"MIA","KC",0,24,FALSE,FALSE
"195","19670924NEBUF",1967,"4",1967-09-24,"BUF","NE",0,23,FALSE,FALSE
"196","19670924NYGDAL",1967,"2",1967-09-24,"DAL","NYG",38,24,FALSE,FALSE
"197","19670924NYJDEN",1967,"4",1967-09-24,"DEN","NYJ",24,38,FALSE,FALSE
"198","19670924TENLAC",1967,"4",1967-09-24,"LAC","TEN",13,3,FALSE,FALSE
"199","19670924WASNO",1967,"2",1967-09-24,"NO","WAS",10,30,FALSE,FALSE
"200","19671001ATLGB",1967,"3",1967-10-01,"GB","ATL",23,0,FALSE,FALSE
"201","19671001CHIMIN",1967,"3",1967-10-01,"MIN","CHI",7,17,FALSE,FALSE
"202","19671001CLENO",1967,"3",1967-10-01,"NO","CLE",7,42,FALSE,FALSE
"203","19671001DENTEN",1967,"5",1967-10-01,"TEN","DEN",10,6,FALSE,FALSE
