"","game_id","schedule_season","schedule_week","schedule_date","team_favorite_id","spread_favorite","over_under_line"
"161","19661218DENBUF",1966,"16",1966-12-18,"",NA,NA
"162","19661218GBLAR",1966,"15",1966-12-18,"",NA,NA
"163","19661218INDSF",1966,"15",1966-12-18,"",NA,NA
"164","19661218KCLAC",1966,"16",1966-12-18,"",NA,NA
"165","19661218MINCHI",1966,"15",1966-12-18,"",NA,NA
"166","19661218PHIWAS",1966,"15",1966-12-18,"",NA,NA
"167","19661218PITATL",1966,"15",1966-12-18,"",NA,NA
"168","19661218TENMIA",1966,"16",1966-12-18,"",NA,NA
"169","19670101GBDAL",1966,"Conference",1967-01-01,"",NA,NA
"170","19670101KCBUF",1966,"Conference",1967-01-01,"",NA,NA
"171","19670115KCGB",1966,"Superbowl",1967-01-15,"GB",-14,NA
"172","19670903NEDEN",1967,"1",1967-09-03,"",NA,NA
"173","19670909KCTEN",1967,"2",1967-09-09,"",NA,NA
"174","19670909NELAC",1967,"2",1967-09-09,"",NA,NA
"175","19670910DENLVR",1967,"2",1967-09-10,"",NA,NA
"176","19670910NYJBUF",1967,"2",1967-09-10,"",NA,NA
"177","19670917ATLIND",1967,"1",1967-09-17,"",NA,NA
"178","19670917CHIPIT",1967,"1",1967-09-17,"",NA,NA
"179","19670917DALCLE",1967,"1",1967-09-17,"",NA,NA
"180","19670917DENMIA",1967,"3",1967-09-17,"",NA,NA
"181","19670917DETGB",1967,"1",1967-09-17,"",NA,NA
"182","19670917LARNO",1967,"1",1967-09-17,"",NA,NA
"183","19670917NELVR",1967,"3",1967-09-17,"",NA,NA
"184","19670917NYGARI",1967,"1",1967-09-17,"",NA,NA
"185","19670917SFMIN",1967,"1",1967-09-17,"",NA,NA
"186","19670917TENBUF",1967,"3",1967-09-17,"",NA,NA
"187","19670917WASPHI",1967,"1",1967-09-17,"",NA,NA
"188","19670922MINLAR",1967,"2",1967-09-22,"",NA,NA
"189","19670924ARIPIT",1967,"2",1967-09-24,"",NA,NA
"190","19670924ATLSF",1967,"2",1967-09-24,"",NA,NA
"191","19670924CHIGB",1967,"2",1967-09-24,"",NA,NA
"192","19670924CLEDET",1967,"2",1967-09-24,"",NA,NA
"193","19670924INDPHI",1967,"2",1967-09-24,"",NA,NA
"194","19670924KCMIA",1967,"4",1967-09-24,"",NA,NA
"195","19670924NEBUF",1967,"4",1967-09-24,"",NA,NA
"196","19670924NYGDAL",1967,"2",1967-09-24,"",NA,NA
"197","19670924NYJDEN",1967,"4",1967-09-24,"",NA,NA
"198","19670924TENLAC",1967,"4",1967-09-24,"",NA,NA
"199","19670924WASNO",1967,"2",1967-09-24,"",NA,NA
"200","19671001ATLGB",1967,"3",1967-10-01,"",NA,NA
"201","19671001CHIMIN",1967,"3",1967-10-01,"",NA,NA
"202","19671001CLENO",1967,"3",1967-10-01,"",NA,NA
"203","19671001DENTEN",1967,"5",1967-10-01,"",NA,NA
"204","19671001DETARI",1967,"3",1967-10-01,"",NA,NA
"205","19671001KCLVR",1967,"5",1967-10-01,"",NA,NA
"206","19671001LACBUF",1967,"5",1967-10-01,"",NA,NA
"207","19671001LARDAL",1967,"3",1967-10-01,"",NA,NA
"208","19671001MIANYJ",1967,"5",1967-10-01,"",NA,NA
"209","19671001NYGWAS",1967,"3",1967-10-01,"",NA,NA
"210","19671001PITPHI",1967,"3",1967-10-01,"",NA,NA
"211","19671001SFIND",1967,"3",1967-10-01,"",NA,NA
"212","19671007LVRNYJ",1967,"6",1967-10-07,"",NA,NA
"213","19671007PITCLE",1967,"4",1967-10-07,"",NA,NA
"214","19671008ARIMIN",1967,"4",1967-10-08,"",NA,NA
"215","19671008BUFDEN",1967,"6",1967-10-08,"",NA,NA
"216","19671008DALWAS",1967,"4",1967-10-08,"",NA,NA
"217","19671008GBDET",1967,"4",1967-10-08,"",NA,NA
"218","19671008INDCHI",1967,"4",1967-10-08,"",NA,NA
"219","19671008MIAKC",1967,"6",1967-10-08,"",NA,NA
"220","19671008NELAC",1967,"6",1967-10-08,"",NA,NA
"221","19671008NONYG",1967,"4",1967-10-08,"",NA,NA
"222","19671008PHIATL",1967,"4",1967-10-08,"",NA,NA
"223","19671008SFLAR",1967,"4",1967-10-08,"",NA,NA
"224","19671015ARICLE",1967,"5",1967-10-15,"",NA,NA
"225","19671015DETCHI",1967,"5",1967-10-15,"",NA,NA
"226","19671015KCLAC",1967,"7",1967-10-15,"",NA,NA
"227","19671015LARIND",1967,"5",1967-10-15,"",NA,NA
"228","19671015LVRBUF",1967,"7",1967-10-15,"",NA,NA
"229","19671015MIANE",1967,"7",1967-10-15,"",NA,NA
"230","19671015MINGB",1967,"5",1967-10-15,"",NA,NA
"231","19671015NODAL",1967,"5",1967-10-15,"",NA,NA
"232","19671015NYGPIT",1967,"5",1967-10-15,"",NA,NA
"233","19671015SFPHI",1967,"5",1967-10-15,"",NA,NA
"234","19671015TENNYJ",1967,"7",1967-10-15,"",NA,NA
"235","19671015WASATL",1967,"5",1967-10-15,"",NA,NA
"236","19671022ATLDET",1967,"6",1967-10-22,"",NA,NA
"237","19671022CHICLE",1967,"6",1967-10-22,"",NA,NA
"238","19671022DALPIT",1967,"6",1967-10-22,"",NA,NA
"239","19671022GBNYG",1967,"6",1967-10-22,"",NA,NA
"240","19671022INDMIN",1967,"6",1967-10-22,"",NA,NA
"241","19671022LACDEN",1967,"8",1967-10-22,"",NA,NA
"242","19671022LVRNE",1967,"8",1967-10-22,"",NA,NA
"243","19671022NOSF",1967,"6",1967-10-22,"",NA,NA
"244","19671022NYJMIA",1967,"8",1967-10-22,"",NA,NA
"245","19671022PHIARI",1967,"6",1967-10-22,"",NA,NA
"246","19671022TENKC",1967,"8",1967-10-22,"",NA,NA
"247","19671022WASLAR",1967,"6",1967-10-22,"",NA,NA
"248","19671029BUFTEN",1967,"9",1967-10-29,"",NA,NA
"249","19671029CLENYG",1967,"7",1967-10-29,"",NA,NA
"250","19671029DALPHI",1967,"7",1967-10-29,"",NA,NA
"251","19671029DENKC",1967,"9",1967-10-29,"",NA,NA
"252","19671029DETSF",1967,"7",1967-10-29,"",NA,NA
"253","19671029INDWAS",1967,"7",1967-10-29,"",NA,NA
"254","19671029LACLVR",1967,"9",1967-10-29,"",NA,NA
