"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","team_home_elo_pre","team_away_elo_pre"
"237","19671022CHICLE",1967,"6",1967-10-22,"CLE","CHI",1096,965
"238","19671022DALPIT",1967,"6",1967-10-22,"PIT","DAL",829,1164
"239","19671022GBNYG",1967,"6",1967-10-22,"NYG","GB",878,1213
"240","19671022INDMIN",1967,"6",1967-10-22,"MIN","IND",841,1207
"241","19671022LACDEN",1967,"8",1967-10-22,"DEN","LAC",758,1142
"242","19671022LVRNE",1967,"8",1967-10-22,"NE","LVR",1043,1176
"243","19671022NOSF",1967,"6",1967-10-22,"SF","NO",1149,795
"244","19671022NYJMIA",1967,"8",1967-10-22,"MIA","NYJ",809,1079
"245","19671022PHIARI",1967,"6",1967-10-22,"ARI","PHI",971,1120
"246","19671022TENKC",1967,"8",1967-10-22,"KC","TEN",1113,884
"247","19671022WASLAR",1967,"6",1967-10-22,"LAR","WAS",1120,991
"248","19671029BUFTEN",1967,"9",1967-10-29,"TEN","BUF",963,951
"249","19671029CLENYG",1967,"7",1967-10-29,"NYG","CLE",866,1128
"250","19671029DALPHI",1967,"7",1967-10-29,"PHI","DAL",1050,1176
"251","19671029DENKC",1967,"9",1967-10-29,"KC","DEN",1034,749
"252","19671029DETSF",1967,"7",1967-10-29,"SF","DET",1160,913
"253","19671029INDWAS",1967,"7",1967-10-29,"WAS","IND",1009,1167
"254","19671029LACLVR",1967,"9",1967-10-29,"LVR","LAC",1208,1151
"255","19671029LARCHI",1967,"7",1967-10-29,"CHI","LAR",933,1102
"256","19671029MINATL",1967,"7",1967-10-29,"ATL","MIN",793,881
"257","19671029NENYJ",1967,"9",1967-10-29,"NYJ","NE",1096,1011
"258","19671029PITNO",1967,"7",1967-10-29,"NO","PIT",784,817
"259","19671030GBARI",1967,"7",1967-10-30,"ARI","GB",1041,1225
"260","19671105ARIWAS",1967,"8",1967-11-05,"WAS","ARI",980,1015
"261","19671105ATLDAL",1967,"8",1967-11-05,"DAL","ATL",1109,855
"262","19671105CHIDET",1967,"8",1967-11-05,"DET","CHI",994,905
"263","19671105CLEPIT",1967,"8",1967-11-05,"PIT","CLE",862,1046
"264","19671105GBIND",1967,"8",1967-11-05,"IND","GB",1196,1251
"265","19671105LARSF",1967,"8",1967-11-05,"SF","LAR",1079,1130
"266","19671105LVRDEN",1967,"10",1967-11-05,"DEN","LVR",733,1250
"267","19671105MIABUF",1967,"10",1967-11-05,"BUF","MIA",903,792
"268","19671105NYGMIN",1967,"8",1967-11-05,"MIN","NYG",819,948
"269","19671105NYJKC",1967,"10",1967-11-05,"KC","NYJ",1050,1134
"270","19671105PHINO",1967,"8",1967-11-05,"NO","PHI",739,1117
"271","19671105TENNE",1967,"10",1967-11-05,"NE","TEN",973,1011
"272","19671112BUFNYJ",1967,"11",1967-11-12,"NYJ","BUF",1072,938
"273","19671112CLEGB",1967,"9",1967-11-12,"GB","CLE",1193,1072
"274","19671112DALNO",1967,"9",1967-11-12,"NO","DAL",830,1127
"275","19671112DETMIN",1967,"9",1967-11-12,"MIN","DET",887,932
"276","19671112INDATL",1967,"9",1967-11-12,"ATL","IND",837,1254
"277","19671112KCNE",1967,"11",1967-11-12,"NE","KC",1028,1112
"278","19671112MIALAC",1967,"11",1967-11-12,"LAC","MIA",1109,757
"279","19671112NYGCHI",1967,"9",1967-11-12,"CHI","NYG",967,880
"280","19671112PHILAR",1967,"9",1967-11-12,"LAR","PHI",1173,1026
"281","19671112PITARI",1967,"9",1967-11-12,"ARI","PIT",1060,836
"282","19671112SFWAS",1967,"9",1967-11-12,"WAS","SF",935,1036
"283","19671112TENDEN",1967,"11",1967-11-12,"DEN","TEN",730,956
"284","19671119ARICHI",1967,"10",1967-11-19,"CHI","ARI",1005,1031
"285","19671119DENBUF",1967,"12",1967-11-19,"BUF","DEN",906,709
"286","19671119DETIND",1967,"10",1967-11-19,"IND","DET",1261,926
"287","19671119LACKC",1967,"12",1967-11-19,"KC","LAC",1150,1120
"288","19671119LARATL",1967,"10",1967-11-19,"ATL","LAR",830,1203
"289","19671119MIALVR",1967,"12",1967-11-19,"LVR","MIA",1253,746
