"","schedule_week","Date","Home Team","Away Team","Winner Pick","Spread Pick","Over/Under Pick"
"12260","8",2018-10-28,"JAX","PHI","PHI (72%)","JAX (+3.5)","Over (44)"
"12261","8",2018-10-28,"DET","SEA","DET (66%)","DET (-3)","Under (48)"
"12262","8",2018-10-28,"ARI","SF","ARI (55%)","SF (+2.5)","Over (40)"
"12263","8",2018-10-28,"CIN","TB","CIN (68%)","CIN (-3.5)","Under (55)"
"12264","8",2018-10-28,"NYG","WAS","WAS (81%)","WAS (-1)","Over (44)"
"12265","8",2018-10-29,"BUF","NE","NE (89%)","BUF (+13.5)","Under (44.5)"
"12266","9",2018-11-01,"SF","LVR","SF (66%)","SF (+1.5)","Over (44)"
"12267","9",2018-11-04,"WAS","ATL","WAS (58%)","WAS (-1.5)","Under (46.5)"
"12268","9",2018-11-04,"BUF","CHI","CHI (57%)","BUF (+10.5)","Over (38)"
"12269","9",2018-11-04,"MIN","DET","MIN (76%)","MIN (-4.5)","Under (47.5)"
"12270","9",2018-11-04,"NE","GB","NE (90%)","NE (-5)","Under (56)"
"12271","9",2018-11-04,"DEN","HOU","HOU (62%)","HOU (+1)","Under (46.5)"
"12272","9",2018-11-04,"CLE","KC","KC (96%)","KC (-7.5)","Under (51.5)"
"12273","9",2018-11-04,"SEA","LAC","LAC (54%)","SEA (-1)","Under (48)"
"12274","9",2018-11-04,"NO","LAR","NO (59%)","NO (+1.5)","Under (57)"
"12275","9",2018-11-04,"MIA","NYJ","MIA (71%)","MIA (-3)","Under (43)"
"12276","9",2018-11-04,"BAL","PIT","PIT (67%)","PIT (+1.5)","Under (46.5)"
"12277","9",2018-11-04,"CAR","TB","CAR (87%)","CAR (-6)","Under (55.5)"
"12278","9",2018-11-05,"DAL","TEN","DAL (60%)","TEN (+4.5)","Over (40.5)"
"12279","10",2018-11-08,"PIT","CAR","PIT (57%)","PIT (-3.5)","Under (51)"
"12280","10",2018-11-11,"KC","ARI","KC (93%)","ARI (+16.5)","Under (49.5)"
"12281","10",2018-11-11,"CLE","ATL","ATL (92%)","ATL (-5.5)","Over (49.5)"
"12282","10",2018-11-11,"NYJ","BUF","NYJ (52%)","BUF (+7)","Over (38)"
"12283","10",2018-11-11,"PHI","DAL","PHI (82%)","PHI (-7.5)","Over (45.5)"
"12284","10",2018-11-11,"CHI","DET","CHI (62%)","DET (+7.5)","Over (44.5)"
"12285","10",2018-11-11,"IND","JAX","JAX (53%)","JAX (+3)","Over (48)"
"12286","10",2018-11-11,"LVR","LAC","LAC (94%)","LVR (+10.5)","Under (50)"
"12287","10",2018-11-11,"GB","MIA","GB (58%)","MIA (+11)","Under (48.5)"
"12288","10",2018-11-11,"TEN","NE","NE (77%)","TEN (+6.5)","Over (47)"
"12289","10",2018-11-11,"CIN","NO","NO (74%)","CIN (+6)","Under (53.5)"
"12290","10",2018-11-11,"LAR","SEA","LAR (81%)","SEA (+10)","Under (51)"
"12291","10",2018-11-11,"TB","WAS","WAS (61%)","WAS (+3.5)","Under (51)"
"12292","10",2018-11-12,"SF","NYG","SF (67%)","SF (-3)","Under (45)"
"12293","11",2018-11-15,"SEA","GB","SEA (56%)","GB (+3)","Under (49)"
"12294","11",2018-11-18,"DET","CAR","CAR (73%)","DET (+4)","Under (48)"
"12295","11",2018-11-18,"BAL","CIN","CIN (55%)","CIN (+6.5)","Over (44)"
"12296","11",2018-11-18,"ATL","DAL","ATL (63%)","ATL (-3.5)","Under (50)"
"12297","11",2018-11-18,"LAC","DEN","LAC (92%)","LAC (-7.5)","Under (46.5)"
"12298","11",2018-11-18,"WAS","HOU","WAS (62%)","WAS (+3)","Over (40.5)"
"12299","11",2018-11-18,"ARI","LVR","ARI (80%)","ARI (-4.5)","Over (41)"
"12300","11",2018-11-18,"CHI","MIN","MIN (61%)","MIN (+2.5)","Over (44)"
"12301","11",2018-11-18,"NO","PHI","NO (88%)","NO (-7)","Under (56.5)"
"12302","11",2018-11-18,"JAX","PIT","PIT (89%)","PIT (-4)","Over (47)"
"12303","11",2018-11-18,"NYG","TB","NYG (50%)","TB (+3)","Under (53.5)"
"12304","11",2018-11-18,"IND","TEN","TEN (70%)","TEN (+1)","Under (50)"
"12305","11",2018-11-19,"LAR","KC","LAR (57%)","LAR (-3)","Under (63.5)"
"12306","12",2018-11-22,"NO","ATL","NO (93%)","NO (-11.5)","Under (61.5)"
"12307","12",2018-11-22,"DET","CHI","CHI (58%)","DET (+3)","Over (43)"
"12308","12",2018-11-22,"DAL","WAS","DAL (64%)","WAS (+7)","Over (40)"
"12309","12",2018-11-25,"LAC","ARI","LAC (89%)","ARI (+14)","Over (43)"
"12310","12",2018-11-25,"CIN","CLE","CIN (84%)","CIN (+1)","Over (46.5)"
"12311","12",2018-11-25,"MIN","GB","MIN (77%)","MIN (-3.5)","Over (48)"
"12312","12",2018-11-25,"BUF","JAX","BUF (61%)","BUF (+3)","Over (36.5)"
"12313","12",2018-11-25,"BAL","LVR","BAL (88%)","LVR (+13)","Over (42)"
"12314","12",2018-11-25,"IND","MIA","IND (67%)","MIA (+9)","Under (52.5)"
"12315","12",2018-11-25,"NYJ","NE","NE (93%)","NYJ (+13)","Over (46.5)"
"12316","12",2018-11-25,"PHI","NYG","PHI (77%)","PHI (-4.5)","Under (49)"
"12317","12",2018-11-25,"DEN","PIT","PIT (84%)","PIT (-3)","Over (47.5)"
"12318","12",2018-11-25,"CAR","SEA","CAR (62%)","CAR (-3)","Over (46.5)"
"12319","12",2018-11-25,"TB","SF","TB (64%)","TB (-1.5)","Under (54.5)"
"12320","12",2018-11-26,"HOU","TEN","HOU (67%)","HOU (-3.5)","Under (42.5)"
"12321","13",2018-11-29,"DAL","NO","NO (76%)","DAL (+7.5)","Under (51.5)"
"12322","13",2018-12-02,"GB","ARI","GB (76%)","ARI (+13.5)","Under (41)"
"12323","13",2018-12-02,"ATL","BAL","BAL (52%)","BAL (+2.5)","Under (46.5)"
"12324","13",2018-12-02,"MIA","BUF","MIA (51%)","BUF (+3.5)","Under (40)"
"12325","13",2018-12-02,"TB","CAR","CAR (64%)","TB (+3.5)","Under (52)"
"12326","13",2018-12-02,"NYG","CHI","CHI (80%)","CHI (-4)","Under (44)"
"12327","13",2018-12-02,"HOU","CLE","HOU (88%)","HOU (-5)","Under (47.5)"
"12328","13",2018-12-02,"CIN","DEN","DEN (55%)","CIN (+4)","Under (45)"
"12329","13",2018-12-02,"JAX","IND","IND (72%)","JAX (+4)","Under (45.5)"
"12330","13",2018-12-02,"LVR","KC","KC (92%)","LVR (+14)","Under (53.5)"
"12331","13",2018-12-02,"PIT","LAC","PIT (67%)","PIT (-3)","Under (52.5)"
"12332","13",2018-12-02,"DET","LAR","LAR (82%)","DET (+10.5)","Under (54)"
"12333","13",2018-12-02,"NE","MIN","NE (67%)","MIN (+6)","Under (49.5)"
"12334","13",2018-12-02,"TEN","NYJ","TEN (86%)","NYJ (+10.5)","Under (40.5)"
"12335","13",2018-12-02,"SEA","SF","SEA (93%)","SEA (-10)","Under (45.5)"
"12336","13",2018-12-03,"PHI","WAS","PHI (70%)","WAS (+5.5)","Under (45)"
"12337","14",2018-12-06,"TEN","JAX","TEN (74%)","TEN (-5.5)","Over (37.5)"
"12338","14",2018-12-09,"GB","ATL","ATL (55%)","ATL (+4)","Under (50.5)"
"12339","14",2018-12-09,"KC","BAL","KC (72%)","BAL (+6.5)","Under (48.5)"
"12340","14",2018-12-09,"CLE","CAR","CAR (58%)","CLE (+1)","Under (47.5)"
"12341","14",2018-12-09,"LAC","CIN","LAC (88%)","CIN (+17)","Under (48.5)"
"12342","14",2018-12-09,"SF","DEN","DEN (83%)","DEN (-3)","Under (45.5)"
"12343","14",2018-12-09,"ARI","DET","DET (58%)","ARI (+2.5)","Over (40.5)"
"12344","14",2018-12-09,"HOU","IND","HOU (83%)","HOU (-4)","Under (49)"
"12345","14",2018-12-09,"CHI","LAR","LAR (74%)","CHI (+3)","Under (51)"
"12346","14",2018-12-09,"MIA","NE","NE (83%)","MIA (+9.5)","Under (49.5)"
"12347","14",2018-12-09,"TB","NO","NO (85%)","TB (+10)","Under (54)"
"12348","14",2018-12-09,"WAS","NYG","WAS (58%)","WAS (+3)","Over (40.5)"
"12349","14",2018-12-09,"BUF","NYJ","BUF (76%)","BUF (-4.5)","Over (37)"
"12350","14",2018-12-09,"DAL","PHI","DAL (69%)","DAL (-3.5)","Under (45.5)"
"12351","14",2018-12-09,"LVR","PIT","PIT (87%)","LVR (+10.5)","Under (51)"
"12352","14",2018-12-10,"SEA","MIN","SEA (59%)","SEA (-3)","Under (45.5)"
"12353","15",2018-12-13,"KC","LAC","KC (65%)","KC (-3.5)","Under (54)"
"12354","15",2018-12-15,"DEN","CLE","DEN (66%)","DEN (-1)","Under (47)"
"12355","15",2018-12-15,"NYJ","HOU","HOU (80%)","NYJ (+7)","Under (44)"
"12356","15",2018-12-16,"ATL","ARI","ATL (67%)","ARI (+10)","Under (43.5)"
"12357","15",2018-12-16,"IND","DAL","DAL (71%)","DAL (+3)","Under (46.5)"
"12358","15",2018-12-16,"BUF","DET","DET (70%)","DET (+2.5)","Over (40)"
"12359","15",2018-12-16,"CHI","GB","CHI (84%)","CHI (-5.5)","Under (46.5)"
"12360","15",2018-12-16,"CIN","LVR","CIN (63%)","CIN (-3)","Under (46)"
"12361","15",2018-12-16,"MIN","MIA","MIN (63%)","MIA (+7.5)","Under (45)"
"12362","15",2018-12-16,"PIT","NE","NE (62%)","PIT (+2.5)","Under (56)"
"12363","15",2018-12-16,"LAR","PHI","LAR (77%)","PHI (+13.5)","Under (52.5)"
"12364","15",2018-12-16,"SF","SEA","SEA (85%)","SEA (-3.5)","Under (44)"
"12365","15",2018-12-16,"BAL","TB","BAL (75%)","TB (+8.5)","Under (45)"
"12366","15",2018-12-16,"NYG","TEN","NYG (51%)","NYG (+2.5)","Under (42)"
"12367","15",2018-12-16,"JAX","WAS","JAX (51%)","WAS (+7.5)","Over (36.5)"
"12368","15",2018-12-17,"CAR","NO","NO (89%)","NO (-6)","Under (50.5)"
"12369","16",2018-12-22,"LAC","BAL","LAC (76%)","LAC (-4)","Under (42.5)"
"12370","16",2018-12-22,"TEN","WAS","TEN (76%)","WAS (+11.5)","Over (37.5)"
"12371","16",2018-12-23,"CAR","ATL","CAR (52%)","CAR (+3)","Under (46)"
