"","schedule_week","schedule_date","team_home_id","team_away_id","team_winner_predicted","team_winner_ats","team_home_win_prob","team_away_win_prob","over_under_pick","score_total_predicted"
"101","10",1966-11-06,"LVR","TEN","LVR (76%)",NA,0.760249938906523,0.239750061093477,NA,37.7
"102","9",1966-11-06,"IND","WAS","IND (58%)",NA,0.583997985713682,0.416002014286318,"Under (NA)",40
"103","10",1966-11-13,"PIT","ARI","ARI (74%)",NA,0.256532138929164,0.743467861070836,NA,46.3
"104","10",1966-11-13,"WAS","DAL","WAS (60%)",NA,0.600467919509348,0.399532080490652,NA,49.5
"105","10",1966-11-13,"MIN","DET","MIN (79%)",NA,0.787863683737308,0.212136316262692,"Under (NA)",38.9
"106","10",1966-11-13,"ATL","IND","IND (88%)",NA,0.116041471646332,0.883958528353668,NA,44.1
"107","11",1966-11-13,"LAC","LVR","LVR (52%)",NA,0.481670292346362,0.518329707653638,NA,43.4
"108","11",1966-11-13,"KC","MIA","KC (84%)",NA,0.839763178297641,0.160236821702359,NA,41
"109","10",1966-11-13,"LAR","NYG","LAR (61%)",NA,0.614058900489902,0.385941099510098,NA,41.2
"110","11",1966-11-13,"BUF","NYJ","BUF (75%)",NA,0.750253271566548,0.249746728433452,NA,42.6
"111","10",1966-11-13,"CLE","PHI","CLE (54%)",NA,0.540832190905916,0.459167809094084,NA,42.8
"112","10",1966-11-13,"CHI","SF","CHI (51%)",NA,0.509872309903497,0.490127690096503,NA,38
"113","11",1966-11-13,"NE","TEN","NE (81%)",NA,0.814470131998591,0.185529868001409,"Under (NA)",43.4
"114","11",1966-11-20,"NYG","ATL","NYG (66%)",NA,0.663023338990446,0.336976661009554,"Under (NA)",42
"115","12",1966-11-20,"TEN","BUF","BUF (81%)",NA,0.193188654729877,0.806811345270123,NA,40.3
"116","11",1966-11-20,"GB","CHI","GB (71%)",NA,0.711787530245203,0.288212469754797,NA,43.6
"117","11",1966-11-20,"PIT","DAL","DAL (55%)",NA,0.446562794621655,0.553437205378345,NA,41.6
"118","11",1966-11-20,"DET","IND","IND (72%)",NA,0.284603099479112,0.715396900520888,NA,44.1
"119","12",1966-11-20,"DEN","LVR","LVR (73%)",NA,0.27155665272523,0.72844334727477,NA,43.7
"120","12",1966-11-20,"NYJ","MIA","NYJ (66%)",NA,0.655243235330369,0.344756764669631,NA,42.8
"121","11",1966-11-20,"LAR","MIN","LAR (53%)",NA,0.528185988898508,0.471814011101492,NA,43.2
"122","12",1966-11-20,"KC","NE","KC (66%)",NA,0.663023338990446,0.336976661009554,NA,41.1
"123","11",1966-11-20,"SF","PHI","SF (60%)",NA,0.596365940186655,0.403634059813345,"Under (NA)",41.3
"124","11",1966-11-20,"CLE","WAS","CLE (69%)",NA,0.69093778758889,0.30906221241111,NA,47.1
"125","13",1966-11-24,"LVR","BUF","LVR (55%)",NA,0.545039062920509,0.454960937079491,NA,42.1
"126","12",1966-11-24,"DAL","CLE","DAL (58%)",NA,0.577089937385459,0.422910062614541,"Under (NA)",42
"127","12",1966-11-24,"DET","SF","DET (66%)",NA,0.65654459717571,0.34345540282429,NA,41.1
"128","12",1966-11-27,"CHI","ATL","CHI (75%)",NA,0.749129026855894,0.250870973144106,NA,40.3
"129","12",1966-11-27,"MIN","GB","GB (70%)",NA,0.29671725495332,0.70328274504668,"Under (NA)",41.6
"130","13",1966-11-27,"NYJ","KC","KC (64%)",NA,0.356550138392125,0.643449861607875,NA,41.8
"131","13",1966-11-27,"DEN","LAC","LAC (56%)",NA,0.439582442343971,0.560417557656029,NA,40.7
"132","12",1966-11-27,"IND","LAR","IND (70%)",NA,0.6996029920215,0.3003970079785,NA,41.3
"133","13",1966-11-27,"MIA","NE","NE (76%)",NA,0.239750061093477,0.760249938906523,NA,41.3
"134","12",1966-11-27,"WAS","NYG","WAS (82%)",NA,0.819159790394093,0.180840209605907,NA,40
"135","12",1966-11-27,"ARI","PIT","ARI (73%)",NA,0.72844334727477,0.27155665272523,"Under (NA)",41.2
"136","14",1966-12-03,"LVR","NYJ","LVR (74%)",NA,0.744605393555796,0.255394606444204,NA,41.1
